date,customer_name,product_name,cost
2024-02-28,Susan Landry,Fitbit Charge 5,1943.01
2024-05-31,Laura Poole,Lenovo Tab P11,1300.58
2024-02-17,Zachary Hicks,Fujifilm X-T4,1134.25
2023-02-23,Blake Williams,HP Spectre x360,1520.24
2023-08-03,Tracey Dixon,Anova Sous Vide,1344.59
2024-07-15,Aaron Riley,Cuisinart Air Fryer,1709.99
2023-03-13,Phillip Camacho,Keurig K-Elite,548.88
2023-09-10,Bradley Hopkins DVM,Logitech Brio,1681.25
2024-05-28,Lisa Bell,Lenovo Tab P11,282.88
2023-04-10,Matthew Molina,Thrustmaster T300,1377.11
2023-10-14,Angela Parker,Sony A7 IV,1702.26
2023-03-21,Seth Jones,Sennheiser Momentum 3,990.55
2024-10-08,James King,Fitbit Charge 5,1478.32
2023-10-28,James King,Elgato Stream Deck,1343.2
2023-08-05,Deanna Jackson,Logitech G Pro X,1083.73
2024-04-13,Brenda Nash,HP Spectre x360,334.0
2023-06-08,Robert Johnson,Xbox Series X,911.7
2023-10-21,Emily Wallace,Thrustmaster T300,946.53
2023-09-24,Kristin Myers,Harman Kardon Onyx,808.05
2024-03-10,Makayla Sampson,Google Pixel 7,927.63
2024-03-27,Alyssa Young,Clarisonic Mia,313.7
2023-07-02,Amber Krause,Canon EOS R5,1098.94
2024-03-09,Robert Stevens,Xbox Series X,259.22
2024-06-11,William Cook,Cuisinart Air Fryer,1966.19
2023-04-09,Gary Montgomery,Surface Pro 8,988.23
2023-06-02,Michael Mckenzie,LaCie Rugged SSD,477.19
2024-05-15,Steven Nichols,Philips Sonicare 9900,379.65
2022-12-03,Edward Powers,Corsair T3 Rush,1939.05
2024-08-26,Kristina Baker,Sonos Beam,1361.72
2024-04-11,Danny Harper,Dyson Supersonic,1915.13
2024-04-13,Jay Garcia,Logitech G29,990.19
2022-11-27,Matthew Harvey MD,Asus ROG Zephyrus G14,1350.18
2023-12-29,Tammy Johnson,Bose QuietComfort 45,1209.76
2024-04-07,Nicole Gonzalez,Logitech G Pro X,1880.19
2023-04-09,Ivan Walker,Foreo Luna 3,914.08
2024-09-23,Angela Valdez,SteelSeries Rival 600,1607.0
2023-12-06,Jeff Bates,Nikon Z7 II,139.01
2023-01-20,Robin Smith,Google Chromecast,1652.06
2023-08-05,Vanessa Garcia,Surface Pro 8,56.15
2024-05-03,Michael Gibson,Nespresso Vertuo,66.56
2024-04-05,Melanie Jackson,Logitech Brio,1611.33
2023-04-01,Ashley Green,Apple AirPods Pro,686.56
2024-06-16,Carolyn Ballard,Philips Hue Starter Kit,671.5
2024-04-02,Shelly Lopez,Seagate Backup Plus,823.34
2023-09-12,Grace Howell,Shark IQ Robot,1626.37
2023-02-09,Nicole Gonzalez,Fujifilm X-T4,1545.14
2023-03-13,Anthony Davis,KitchenAid Stand Mixer,1192.6
2023-12-15,Mary Hebert,Jabra Elite 85h,1923.12
2023-05-03,Robert Sheppard,Roomba i7+,1648.07
2023-06-07,James Perry,Nintendo Switch,59.97
2023-06-07,Dustin Rojas,Nest Learning Thermostat,899.7
2022-12-10,Sheila Beck,Oral-B iO Series 9,682.65
2023-01-31,Crystal Harper,Sonos Beam,909.53
2023-09-11,John Rodriguez,LG C1 OLED TV,212.65
2023-12-31,Mark Rivas,LaCie Rugged SSD,367.83
2024-01-31,Jeff Bates,Amazon Fire TV Stick 4K,1585.43
2024-06-13,Andrew Campbell,Noblechairs Hero,712.05
2023-09-17,Mr. Scott Bray,Marshall Stanmore II,960.85
2024-08-17,Tiffany Cole,Amazon Fire TV Stick 4K,338.63
2023-05-15,Melanie Jackson,Anova Sous Vide,264.73
2024-05-29,Darius Davila,iPhone 14,771.76
2022-11-17,Annette Wilson,Philips Hue Starter Kit,1101.73
2023-11-25,Lisa Ramirez,Apple Watch Series 8,727.66
2024-10-01,Courtney Brown,LaCie Rugged SSD,759.43
2024-03-27,Nicholas Wright,Corsair HS80,474.74
2024-06-14,Mr. Scott Bray,Canon EOS R5,510.75
2024-07-20,Annette Wilson,Fujifilm X-T4,1254.39
2024-09-23,Crystal Pierce,Vizio M-Series Quantum,229.95
2023-09-04,Kyle Arnold,Vitamix 5200,1403.66
2023-07-03,Lynn Sullivan,WD My Passport,1310.0
2023-03-01,Amanda Rodriguez,HP Omen 15,1866.77
2024-05-15,Robert Garcia,Surface Pro 8,1068.58
2022-11-23,Ross Johnson,Fujifilm X-T4,164.99
2023-06-06,Mr. David Scott,Shark IQ Robot,1007.69
2023-08-25,Michelle Ramirez DVM,Logitech G29,89.03
2023-10-29,Jeffrey Schultz,SanDisk Extreme Pro,788.14
2024-07-17,Troy Roach,Ninja Foodi,1684.2
2024-07-30,Ronald Smith,Alienware AW3423DW,615.03
2023-05-31,Alex Mendez,LaCie Rugged SSD,582.14
2023-02-11,Edward Mejia II,Logitech G29,1143.92
2024-08-10,Lori Oneill DVM,Roomba i7+,1933.85
2024-03-19,Christopher Glass,Ring Video Doorbell,701.55
2023-10-10,Steven Martinez,Bose QuietComfort 45,1281.64
2024-09-25,Phillip Torres,Sonos Beam,1949.96
2023-09-07,Steven Smith,Dyson Supersonic,853.03
2023-09-22,Kristin Smith,GHD Platinum+,867.24
2023-10-10,Rachel Mclaughlin,Seagate Backup Plus,871.49
